full_name,gender,age,national_id,county,sub_county,constituency,ward,polling_station,registration_year,occupation,voter_status
Moraa Kariuki,Female,45,17471301,Kiambu,Ruiru,Ruiru,Gatongora,Gatongora Primary School,2022,Engineer,Active
Nyaguthii Kiptoo,Female,20,11678443,Kiambu,Thika Town,Thika Town,Gatuanyaga,Gatuanyaga Primary School,2022,Farmer,Under Review
Mumbi Mutua,Female,43,28456905,Nairobi,Westlands,Westlands,Mountain View,Mountain View Primary School,2027,Casual Worker,Active
Muriithi Omondi,Male,65,26434414,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2017,Casual Worker,Inactive
Kimani Mwenda,Male,66,24979419,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2017,Clerk,Active
Kariuki Mwenda,Male,72,19364231,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2022,Teacher,Active
Wanjiku Kiptoo,Female,64,16878334,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2022,Tailor,Active
Maina Ochieng,Male,73,46598928,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2027,Casual Worker,Active
Omondi Barasa,Male,66,15834366,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2017,Accountant,Active
Kinyanjui Cheruiyot,Male,53,49627281,Meru,Igembe South,Igembe South,Athiru Gaiti,Athiru Gaiti Primary School,2027,Clerk,Active
Auma Njoroge,Male,48,38314694,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2022,Police Officer,Active
Akinyi Njoroge,Female,49,12132899,Kiambu,Thika Town,Thika Town,Gatuanyaga,Gatuanyaga Primary School,2017,Casual Worker,Active
Chebet Thuo,Female,57,11999657,Meru,Igembe South,Igembe South,Athiru Gaiti,Athiru Gaiti Primary School,2017,Teacher,Active
Wambui Ochieng,Female,53,16287781,Nakuru,Nakuru Town East,Nakuru Town East,Menengai,Menengai Primary School,2022,Mechanic,Active
Nyambura Koech,Female,40,24672546,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2017,Clerk,Active
Fatuma Kariuki,Female,31,25613608,Kiambu,Thika Town,Thika Town,Gatuanyaga,Gatuanyaga Primary School,2027,Casual Worker,Active
Jepchirchir Thuo,Female,79,43913819,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2013,Teacher,Active
Mwangi Ngugi,Male,49,11780798,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2013,Mechanic,Active
Rashid Bosibori,Male,72,47664518,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2017,Casual Worker,Active
Odhiambo Cheruiyot,Male,48,23343768,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2017,Teacher,Active
